idALEC;V1;V2
A1;1;1
A2;0;1
A20;0;1
A3;1;0
A30;1;1
A31;1;0
A32;0;1
A4;1;1
A40;1;0
A41;1;0
A42;1;0
A43;1;0
A44;1;0
A5;1;1
A50;0;1
A51;1;1
A52;1;0
A53;1;0
A54;1;1
A55;1;1
A56;1;1
A6;1;1
A60;0;1
A61;0;1
A62;1;1
A63;0;1
Ar2;1;1
Ar3;1;0
At2;0;1
At3;1;1
At6;1;1
B1;1;1
B10;1;1
B11;1;1
B12;1;1
B13;0;1
B14;1;1
B15;1;1
B16;1;1
B4;1;1
B40;1;1
B6;1;1
Bo2;1;0
Bo3;0;0
Bo30;1;1
Bo31;1;0
Bo32;1;0
Bo4;1;1
Bo40;1;1
Bo41;1;1
Bo42;1;1
Bo43;1;1
Bo44;1;0
Bo45;1;0
Bo46;1;0
Bo47;1;1
Bo5;1;1
Bo50;1;1
Bo6;1;1
Bo60;0;1
C1;1;0
C2;1;0
C3;0;1
C4;1;0
C5;1;0
Ca1;0;1
Ca10;0;1
Ca2;1;1
Ca20;1;1
Ca21;1;0
Ca3;1;0
Ca30;1;0
Ca4;1;0
Ca40;1;0
Ce1;1;1
Ce2;1;0
Ce20;1;1
Ce3;1;1
Ce30;0;1
Ce4;1;1
Ce5;1;1
Ce50;0;1
Ch1;1;1
Ch10;1;0
Ch3;1;0
Ch30;1;0
Ch4;1;0
Ch5;0;1
Ch6;0;0
Ch60;0;1
Co1;0;1
Co10;1;0
Co11;1;0
Co2;0;1
Co3;1;1
Co30;1;0
Co4;1;0
Co40;1;0
Cq2;1;1
Cq3;1;0
Cs1;0;1
Cs3;1;0
Cs30;0;1
Cs31;1;1
Cs5;1;0
Cs6;1;0
Cu1;1;1
Cu10;1;1
Cu2;1;1
Cu20;1;1
Cu21;1;1
Cu3;1;0
Cu30;1;1
Cu31;0;1
Cu32;1;1
Cu33;1;1
Cu34;0;0
Cu4;1;1
Cu40;1;1
Cu41;1;1
Cu42;1;1
Cu43;1;1
Cu44;1;1
Cu45;1;1
Cu5;1;1
Cu50;1;1
Cu51;0;1
Cu52;1;1
Cu6;1;1
G3;0;1
G30;0;1
G31;0;1
G4;0;1
G40;1;1
G5;1;0
H2;1;1
H3;0;1
H30;1;1
H31;1;1
H4;1;1
H5;1;1
H50;1;1
M1;1;0
M2;0;1
M20;0;1
M21;0;1
M3;0;1
M30;0;1
M31;1;0
M4;0;1
Me1;1;0
Me10;1;0
Me2;1;0
N1;1;0
N3;1;1
N30;1;1
N31;0;1
N4;1;1
N40;1;1
N6;1;1
NS1;0;1
NS10;1;0
NS3;0;1
NS30;1;1
NS31;1;1
NS32;1;1
NS33;1;1
NS34;1;1
NS4;0;1
NS40;0;1
NS41;1;1
NS5;1;0
NS6;1;1
NS60;1;1
NS61;1;1
NS62;1;1
NS63;1;1
P1;1;1
Q1;1;0
R1;1;0
R3;0;1
R6;1;0
S1;0;1
S10;0;1
S11;0;1
S2;1;1
S3;0;1
S4;1;1
S40;1;1
S41;1;1
S42;1;1
S43;1;1
S44;1;1
S45;1;1
S5;1;1
S50;1;1
S51;1;1
S52;0;1
S6;1;1
S60;1;1
S61;1;1
Su1;1;1
Su10;1;0
Su2;1;1
Su3;1;0
Su4;1;1
Su6;1;1
T2;1;1
T20;1;1
T21;1;1
T22;0;0
T23;1;1
T3;0;1
T4;1;1
T40;0;1
T41;1;0
T42;1;0
T43;1;0
T44;1;0
T5;1;1
T50;1;1
T6;1;1
T60;1;1
V2;0;1
V20;1;1
V21;1;0
V3;0;0
V4;1;0
V40;1;0
V41;1;0
V42;0;1
V5;1;0
V6;1;0
V60;1;0
V61;1;0
V62;1;0
V63;1;0
